,Itemcode,Item Description,Brand,Pack-size,Vendor ID,Receive Date,PO Number,PO Line #,Ordered Quantity,Order UOM,Received Quantity,Rec. UOM,Weight (LB),Variance (Quantity),Estimate Inventory Cost,Actual Inventory Cost,Variance (Inventory Cost),Estimate Add-on Cost,Actual Add-on Cost,Variance (Add-on Cost),Price per Case ($)
8,APP1,Apple McIntosh 80s,,,BHO,10/09/2015,2819,1,126,CS,126,CS,0.0,0.0,2898.0,2898.0,0.0,157.5,157.5,0.0,23.0
9,APP1,Apple McIntosh 80s,,,BHO,11/02/2015,2970,1,42,CS,42,CS,0.0,0.0,966.0,966.0,0.0,52.5,52.5,0.0,23.0
10,APP1,Apple McIntosh 80s,,,BHO,11/09/2015,2990,1,84,CS,84,CS,0.0,0.0,1932.0,1932.0,0.0,105.0,105.0,0.0,23.0
11,APP1,Apple McIntosh 80s,,,BHO,11/16/2015,3021,1,42,CS,42,CS,0.0,0.0,966.0,966.0,0.0,52.5,52.5,0.0,23.0
12,APP1,Apple McIntosh 80s,,,BHO,11/30/2015,3068,2,84,CS,84,CS,0.0,0.0,1932.0,1932.0,0.0,105.0,105.0,0.0,23.0
13,APP1,Apple McIntosh 80s,,,ROG,01/18/2016,3163,2,50,CS,50,CS,0.0,0.0,1150.0,1150.0,0.0,62.5,62.5,0.0,23.0
14,APP1,Apple McIntosh 80s,,,ROG,01/25/2016,3175,2,52,CS,52,CS,0.0,0.0,1196.0,1196.0,0.0,65.0,65.0,0.0,23.0
15,APP1,Apple McIntosh 80s,,,ROG,02/01/2016,3183,2,70,CS,70,CS,0.0,0.0,1610.0,1610.0,0.0,87.5,87.5,0.0,23.0
16,APP1,Apple McIntosh 80s,,,ROG,02/15/2016,3206,1,42,CS,42,CS,0.0,0.0,966.0,966.0,0.0,52.5,52.5,0.0,23.0
17,APP1,Apple McIntosh 80s,,,ROG,02/22/2016,3215,1,84,CS,84,CS,0.0,0.0,1932.0,1932.0,0.0,105.0,105.0,0.0,23.0
18,APP1,Apple McIntosh 80s,,,ROG,02/29/2016,3216,1,42,CS,42,CS,0.0,0.0,966.0,966.0,0.0,52.5,52.5,0.0,23.0
