,year,Item Description,index,Number_of_invoices,Quantity_sold,Ave_price_each,Ave_cost_each,Total_sales,Cost_of_goods_sold,Line_gross_profit,Gross_profit_per_muom,Profit_percent
63,2014,Apple McIntosh 88s                 ,23.0,24.0,1132.0,29.1705,25.6309,33021.0,29014.232000000004,4006.77,3.5396,0.1213
64,2014,Apple McIntosh ECO 100s            ,146.0,13.0,215.0,24.5164,22.9962,5271.02,4944.1796,326.84,1.5202,0.062
65,2014,Apple McIntosh ECO 140s            ,244.0,11.0,26.0,35.0577,31.2046,911.5,811.3204,100.18,3.8531,0.1099
66,2014,Apple McIntosh ECO 88s             ,5.0,433.0,7281.0,28.9515,25.4331,210795.65,185178.6248,25617.03,3.5184,0.1215
67,2014,Apple McIntosh ECO polybag 12/3#   ,0.0,281.0,18780.0,23.993000000000002,20.0995,450589.25,377469.3275,73119.92,3.8935,0.1623
68,2014,Apple McIntosh ECO tote 10/4#      ,2.0,191.0,11065.0,24.7501,21.2064,273859.75,234648.6347,39211.12,3.5437,0.1432
69,2014,Apple McIntosh ECO tote 8/5#       ,31.0,16.0,1087.0,24.8319,22.2402,26992.25,24175.1396,2817.11,2.5917,0.1044
70,2014,Apple McIntosh Juicing ECO 1 bu    ,438.0,1.0,1.0,17.0,15.0,17.0,15.0,2.0,2.0,0.1176
71,2014,Apple McIntosh tote 8/5#           ,191.0,1.0,70.0,23.0,20.5,1610.0,1435.0,175.0,2.5,0.1087
220,2014,INACTIVE Apple McIntosh ECO 88s    ,404.0,1.0,1.0,35.75,25.0,35.75,25.0,10.75,10.75,0.3007
610,2015,Apple McIntosh 80/88s              ,74.0,2.0,210.0,28.0,24.75,5880.0,5197.5,682.5,3.25,0.1161
611,2015,Apple McIntosh 80s                 ,41.0,21.0,378.0,29.0,24.25,10962.0,9166.5,1795.5,4.75,0.1638
612,2015,Apple McIntosh 88s                 ,20.0,32.0,978.0,26.7768,22.9099,26187.75,22405.8342,3781.92,3.8669,0.1444
613,2015,Apple McIntosh ECO 100s            ,78.0,2.0,180.0,28.0,24.375,5040.0,4387.5,652.5,3.625,0.1295
614,2015,Apple McIntosh ECO 113s            ,199.0,1.0,4.0,38.5,30.235,154.0,120.94,33.06,8.265,0.2147
615,2015,Apple McIntosh ECO 120s            ,101.0,23.0,81.0,30.8416,26.6773,2498.17,2160.861,337.31,4.1643,0.135
616,2015,Apple McIntosh ECO 80/88/100s      ,54.0,58.0,433.0,29.4382,26.2983,12746.75,11387.1805,1359.57,3.1399,0.1067
617,2015,Apple McIntosh ECO 80/88s          ,77.0,10.0,266.0,27.9511,25.4562,7435.0,6771.3598,663.64,2.4949,0.0893
618,2015,Apple McIntosh ECO 80s             ,17.0,69.0,1208.0,29.1558,24.6715,35220.25,29803.158,5417.09,4.4843,0.1538
619,2015,Apple McIntosh ECO 88s             ,6.0,422.0,6160.525,28.865,24.8366,177823.5,153006.731,24816.77,4.0284,0.1396
620,2015,Apple McIntosh ECO polybag 12/3#   ,1.0,312.0,17951.0,23.7004,20.0733,425446.05,360335.1631,65110.89,3.6271,0.153
621,2015,Apple McIntosh ECO tote 10/4#      ,3.0,198.0,11407.0,24.7616,21.1643,282456.0,241421.2995,41034.7,3.5973,0.1453
622,2015,Apple McIntosh ECO tote 8/5#       ,34.0,98.0,1846.0,24.4531,23.2938,45140.5,43000.2911,2140.21,1.1593,0.0474
623,2015,Apple McIntosh polybag 12/3#       ,52.0,9.0,330.0,23.75,19.2886,7837.5,6365.244000000001,1472.26,4.4614,0.1878
