SITE_NAME,SITE_TYPE,SITE_ADDRESS_1,SITE_ADDRESS_2,SITE_CITY,SITE_STATE,SITE_ZIP,SITE_PHONE,SITE_PHONE_EXT,CONTACT_FIRST_NAME,CONTACT_LAST_NAME,CONTACT_PHONE,SPONSORING_ORGANIZATION,START_DATE,END_DATE,DAYS_OF_OPERATION,HOURS_OPEN,BREAKFAST_TIME,LUNCH_TIME,SNACK_TIME,SUPPER_TIME,MEAL_TYPES_SERVED
"Barnstable High School (SF-170-004)",Closed,"744 West Main Street"," ",Hyannis,MA,2601,"508 790 5345",107,Michelle,Davies,"508 790 6345","Barnstable Recreation (01-020-SF-170)",2018/07/02,2018/08/17,"M,T,W,TH,F","08:30 AM - 12:15 PM",08:30:00,11:30:00," "," ","B,L"
"YMCA CAPE COD CAMP LYNDON (SF-215-006)",Camp,"117 STOWE RD."," ",SANDWICH,MA,2563,508-428-9251," ",Jenna,Winslow,508-362-6500,"Cape Cod YMCA (01-020-SF-215)",2018/06/25,2018/08/31,"M,T,W,TH,F","11:30 AM - 01:30 PM"," ",11:30:00," "," ",L
"Camp 132 YMCA (SF-215-007)",Closed,"2245 ROUTE 132"," ","WEST BARNSTABLE",MA,2668,508-362-6500,125,Rachel,Fallon,508-362-6500,"Cape Cod YMCA (01-020-SF-215)",2018/06/25,2018/08/25,"M,T,W,TH,F","07:30 AM - 01:30 PM",07:30:00,11:30:00," "," ","B,L"
"FAITH ASSEMBLY A KIDDIE CAMP (SF-215-009)",Closed,"154 BEARSES WAY"," ",HYANNIS,MA,2601,508-775-1830," ",Sue,Smith,508-775-1830,"Cape Cod YMCA (01-020-SF-215)",2018/06/26,2018/08/24,"M,T,W,TH,F","08:15 AM - 12:30 PM",08:15:00,11:30:00," "," ","B,L"
"WEST VILLAGES ELEMENTARY SCHOOL (SF-215-012)",Closed,"760 0STERVILLE-W. BARTNSTABLE ROAD"," ","MARSTON MILLS",MA,2648,508-790-9890," ",Maura,Shanahan,508-790-9890,"Cape Cod YMCA (01-020-SF-215)",2018/06/25,2018/08/09,"M,T,W,TH","11:45 AM - 01:00 PM"," ",11:45:00," "," ",L
"CROMWELL COURT APARTMENTS (SF-215-015)",Open,"168 BARNSTABLE ROAD"," ",HYANNIS,MA,2601,508-771-4550," ",JENNA,WINSLOW,508-362-6500,"Cape Cod YMCA (01-020-SF-215)",2018/06/25,2018/08/24,"M,T,W,TH,F","08:15 AM - 01:30 PM",08:15:00,12:15:00," "," ","B,L"
"STURGIS LIBRARY (SF-215-016)",Open,"3090 MAIN STREET"," ",BARNSTABLE,MA,2630,508-362-6636," ","MEGAN MCCLELLAN",NICKERSON,508-362-6636,"Cape Cod YMCA (01-020-SF-215)",2018/06/26,2018/08/24,TH,"11:45 AM - 01:15 PM"," ",11:45:00," "," ",L
"CAPE COD FAMILY RESOURCE CENTER (SF-215-020)",Open,"29 Bassett Lane"," ",Hyannis,MA,2601,"508 862 0600"," ",Paul,Melville,"508 862 0600","Cape Cod YMCA (01-020-SF-215)",2018/06/25,2018/08/24,"M,T,W,TH,F","12:00 PM - 01:30 PM"," ",12:00:00," "," ",L
"A BABY CENTER (SF-215-025)",Open,"81 Willow Avenue"," ",Hyannis,MA,2601,"508 771 8157"," ",Robin,Haywand,"508 771 8157","Cape Cod YMCA (01-020-SF-215)",2018/06/25,2018/09/01,"M,T,W,TH","11:00 AM - 12:00 PM"," ",11:00:00," "," ",L
"CAPE COD COLLABORATIVE STAR PROGRAM (SF-215-026)",Closed,"418 Bumps River Road"," ",Osterville,MA,2655,"508 420 6950",1115,Anita,Woods,"508 420 6950","Cape Cod YMCA (01-020-SF-215)",2018/07/02,2018/08/09,"M,T,W","12:00 AM - 01:00 PM"," ",00:00:00," "," ",L
"TOTAL ACHIEVEMENT PROGRAM-YARMOUTH (SF-215-027)",Closed,"221 Willow Street"," ",Yarmouth,MA,2675,508-681-9828," ",Heather,Horgan,508-681-9828,"Cape Cod YMCA (01-020-SF-215)",2018/07/02,2018/08/31,"M,T,W,TH,F","08:45 AM - 10:20 AM",08:45:00," "," "," ",B
"Study Home (SF-215-028)",Closed,"330 Bearses Way"," ",Hyannis,MA,2601,774-303-9003," ",Elizabeth,Childs," ","Cape Cod YMCA (01-020-SF-215)",2018/06/25,2018/08/24,"M,T,W,TH","01:30 PM - 02:00 PM"," ",13:30:00," "," ",L
"Hyannis West Elementary (SF-215-029)",Closed,"549 West Main St."," ",Hyannis,MA,2601,508-790-6480," ",Chaitra,McCarty," ","Cape Cod YMCA (01-020-SF-215)",2018/07/16,2018/08/03,"M,T,W,TH,F","09:00 AM - 11:50 AM",09:00:00,11:30:00," "," ","B,L"
"Jumpstart (SF-215-030)",Closed,"549 West Main St."," ",Hyannis,MA,2601,508-280-4783," ",Linda,Silk," ","Cape Cod YMCA (01-020-SF-215)",2018/07/23,2018/08/03,"M,T,W,TH,F","09:00 AM - 09:20 AM",09:00:00," "," "," ",B
"BARNSTABLE HIGH SCHOOL (SF-215-031)",Closed,"744 Main Street"," ",Hyannis,MA,2601,"744 292 9500"," ",Elise,Burnham-Fay,"744 292 9500","Cape Cod YMCA (01-020-SF-215)",2018/06/25,2018/08/09,"M,T,W,TH","11:00 AM - 11:30 AM"," ",11:00:00," "," ",L
"BARNSTABLE UNITED (SF-215-032)",Closed,"730  Osterville West Barnstable Road"," ","Marston Mills",MA,2648,"203 313 2663"," ",Heather,McCallen,"203 313 2663","Cape Cod YMCA (01-020-SF-215)",2018/06/25,2018/08/09,"M,T,W,TH","12:00 PM - 12:30 PM"," ",12:00:00," "," ",L
