"School District",SchoolName,Enrollment,AvgDailyAtt,FreeApps,ReducedApps,"Total F/R Apps","F/R ADA","F/R %","Paid ADA",LunchDays,LunchPaid,LunchFree,LunchReduced,"Total F/R Lunches","Total Lunches","Lunch ADP","Total Lunch Participation","F/R Lunch ADP","F/R Lunch Participation","Paid Lunch ADP","Paid Lunch Participation",BreakfastDays,BrkPaid,BrkFree,BrkReduced,BrkSvrNeedFree,BrkSvrNeedReduced,"Total F/R Breakfasts","Total Breakfasts","Breakfast ADP","Total Breakfast Participation","F/R Breakfast ADP","F/R Breakfast Participation","Paid Breakfast ADP","Paid Breakfast Participation","How many kids eligible for F/R ate lunch but not school breakfast?","Percentage of students eligible for F/R meals who eat both breakfast and lunch ","MSBC Goal","Breakfast ADP needed to reach goal ","Increase in breakfast ADP to reach goal ","Progress toward achieving MSBC goal","Breakfast Paid %","Breakfast Free %","Breakfast Reduced %","Breakfast Severe Free %","Breakfast Severe Reduced %","Estimated additional annual revenue if MSBC goal reached","CEP Eligible",County
"Abby Kelley Foster Regional Charter Sch.","ABBY KELLEY FOSTER ELEMENTARY",463,440,270,50,320,304.1036717062635,0.6911447084233261,135.8963282937365,15,869,3097,476,3573,4442,296.1333333333333,0.673030303030303,238.2,0.7832855113636362,57.93333333333333,0.4263053613053613,18,1017,0,0,3008,369,3377,4394,244.11111111111111,0.5547979797979798,187.61111111111111,0.6169314236111111,56.5,0.4157581055308328,50.588888888888874,0.7876201138165874,0.8,352,107.88888888888889,0.6934974747474748,0.23145197997269004,0,0,0.6845698680018206,0.0839781520254893,28553.808511606734,Eligible,
"Abby Kelley Foster Regional Charter Sch.","ABBY KELLEY FOSTER MIDDLE",479,463,282,53,335,323.81002087682674,0.6993736951983298,139.1899791231733,16,1139,3730,607,4337,5476,342.25,0.7392008639308856,271.0625,0.8371034944070146,71.1875,0.5114412721982241,18,368,0,0,1643,196,1839,2207,122.61111111111111,0.2648188144948404,102.16666666666667,0.31551422154884323,20.444444444444443,0.14688158280670877,168.89583333333331,0.37691184382445625,0.8,370,247.38888888888889,0.3313813813813814,0.16674218396012686,0,0,0.7444494789306751,0.08880833710919801,69831.79669234254,Eligible,
"Abby Kelley Foster Regional Charter Sch.","ABBY KELLEY FOSTER HIGH SCHOOL",481,462,253,62,315,302.5571725571726,0.6548856548856549,159.44282744282745,16,1354,3286,686,3972,5326,332.875,0.720508658008658,248.25,0.8205060812203668,84.625,0.5307545115527043,18,216,0,0,1123,179,1302,1518,84.33333333333333,0.18253968253968253,72.33333333333333,0.2390732724066057,12,0.07526208731028007,175.91666666666669,0.2913729439409197,0.8,370,285.6666666666667,0.2279279279279279,0.1422924901185771,0,0,0.7397891963109354,0.11791831357048749,82958.95494071147,"Near Eligible",
"Abington Public Schools",WOODSDALE,319,303,103,20,123,116.8307210031348,0.38557993730407525,186.1692789968652,17,1489,1312,201,1513,3002,176.58823529411765,0.5827994564162299,89,0.7617859346910301,87.58823529411765,0.4704763093356155,17,602,0,0,877,118,995,1597,93.94117647058823,0.31003688604154533,58.529411764705884,0.5009762095291308,35.411764705882355,0.1902127187508667,30.470588235294116,0.6576338400528751,0.5,152,58.05882352941177,0.6180340557275542,0.3769567939887289,0,0,0.5491546649968692,0.07388854101440201,13068.47040406645,"Near Eligible",
"Abington Public Schools","ABINGTON HIGH",533,505,143,39,182,172.4390243902439,0.34146341463414637,332.5609756097561,16,1714,1261,290,1551,3265,204.0625,0.4040841584158416,96.9375,0.5621552333804809,107.125,0.3221213788045471,17,149,0,0,752,81,833,982,57.76470588235294,0.1143855562026791,49,0.28415841584158413,8.764705882352942,0.02635518453806165,47.9375,0.5054803352675693,0.5,253,195.23529411764707,0.2283189955824227,0.15173116089613034,0,0,0.7657841140529531,0.0824847250509165,55829.46084820894,"Not Eligible",
"Abington Public Schools","ABINGTON MIDDLE SCHOOL",688,651,184,41,225,212.8997093023256,0.32703488372093026,438.10029069767444,17,2841,2140,357,2497,5338,314,0.4823348694316436,146.88235294117646,0.6899133560234129,167.11764705882354,0.38145979495400195,17,628,0,0,974,88,1062,1690,99.41176470588235,0.1527062437878377,62.470588235294116,0.2934273064064335,36.94117647058823,0.08432127815245097,84.41176470588235,0.4253103724469363,0.5,326,226.58823529411765,0.30494406351497655,0.3715976331360947,0,0,0.5763313609467455,0.05207100591715976,51061.51134006265,"Not Eligible",
"Abington Public Schools","BEAVER BROOK ELEMENTARY",426,400,102,24,126,118.30985915492958,0.29577464788732394,281.6901408450704,17,1914,951,161,1112,3026,178,0.445,65.41176470588235,0.5528851540616245,112.58823529411765,0.3996882352941177,17,297,0,0,206,53,259,556,32.705882352941174,0.08176470588235293,15.235294117647058,0.12877450980392155,17.470588235294116,0.06202058823529412,50.17647058823529,0.2329136690647482,0.5,200,167.29411764705884,0.16352941176470587,0.5341726618705036,0,0,0.37050359712230213,0.09532374100719425,30795.898349555653,"Not Eligible",
"Academy of the Pacific Rim","ACADEMY OF THE PACIFIC RIM",527,498,290,62,352,332.6299810246679,0.6679316888045541,165.37001897533207,17,169,3342,232,3574,3743,220.1764705882353,0.44212142688400663,210.23529411764707,0.6320395217232567,9.941176470588236,0.06011474469305795,17,1109,0,0,1744,347,2091,3200,188.23529411764707,0.37798251830852825,123,0.3697802573932092,65.23529411764706,0.39448078026391276,87.23529411764707,0.5850587576944599,0.8,398,209.76470588235293,0.47295300029559567,0.3465625,0,0,0.545,0.1084375,49317.268698529406,Eligible,
"Acton Boxborough Reg'l School Dist","ACTON-BOXBOROUGH REG HIGH",1832,1740,118,33,151,143.4170305676856,0.0824235807860262,1596.5829694323145,16,8800,932,246,1178,9978,623.625,0.3584051724137931,73.625,0.5133630204765167,550,0.34448569885194225,17,1672,374,131,0,0,505,2177,128.05882352941177,0.07359702501690331,29.705882352941178,0.20712939206283107,98.3529411764706,0.06160214850058262,43.919117647058826,0.40347548187356436,0.25,435,306.94117647058823,0.29438810006761323,0.7680293982544787,0.17179604960955444,0.060174552135966924,0,0,32310.88129914345,"Not Eligible",
"Acton Boxborough Reg'l School Dist","BLANCHARD MEMORIAL SCHOOL",497,472,32,14,46,43.68611670020121,0.0925553319919517,428.3138832997988,16,2890,272,161,433,3323,207.6875,0.4400158898305085,27.0625,0.6194759810243183,180.625,0.42171175636062985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0625,0,0.25,118,118,0,0,0,0,0,0,0,"Not Eligible",
