,"Location of Terminal Market",,"All Red Tomato count  apples are tray packed. ","Type of Apple (not all varieties are grown in all origins)",,"USDA specifications for size, coloring, allowable imperfections, etc",,"Pricing in $",,,,"Where the product was grown ",,"Count size-how many apples fit into a case, so the higher the number, the smaller the apple",,,,,,,,,,,,,,
"Commodity Name","City Name",Type,Package,Variety,"Sub Variety",Grade,Date,"Low Price","High Price","Mostly Low","Mostly High",Origin,"Origin District","Item Size",Color,Environment,"Unit of Sale",Quality,Condition,Appearance,Storage,Crop,Repack,"Trans Mode",Offerings,"Market Tone","Price Comment",Comments
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/04,30,34,32,33,WASHINGTON,,64s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/04,30,34,32,33,WASHINGTON,,72s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/04,30,34,33,34,WASHINGTON,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/04,30,34,33,34,WASHINGTON,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/04,28,32,29,30,WASHINGTON,,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/04,28,28,,,WASHINGTON,,113s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/04,28,28,,,WASHINGTON,,125s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/05,30,34,32,33,WASHINGTON,,64s,,,,,,,,,N,,,"NEW ZEALAND BRAEBURN 80S, WA GINGER GOLD 80S-100S, CHILE GRANNY SMITH 90S-100S.","occas lower","HIGHER; WA PINKLADY 80S, WA FUJI 72S-80S, GINGER GOLD 125S; OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/05,30,34,32,33,WASHINGTON,,72s,,,,,,,,,N,,,"NEW ZEALAND BRAEBURN 80S, WA GINGER GOLD 80S-100S, CHILE GRANNY SMITH 90S-100S.",,"HIGHER; WA PINKLADY 80S, WA FUJI 72S-80S, GINGER GOLD 125S; OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/05,30,34,33,34,WASHINGTON,,80s,,,,,,,,,N,,,"NEW ZEALAND BRAEBURN 80S, WA GINGER GOLD 80S-100S, CHILE GRANNY SMITH 90S-100S.",,"HIGHER; WA PINKLADY 80S, WA FUJI 72S-80S, GINGER GOLD 125S; OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/05,30,34,33,34,WASHINGTON,,88s,,,,,,,,,N,,,"NEW ZEALAND BRAEBURN 80S, WA GINGER GOLD 80S-100S, CHILE GRANNY SMITH 90S-100S.",,"HIGHER; WA PINKLADY 80S, WA FUJI 72S-80S, GINGER GOLD 125S; OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/05,28,32,29,30,WASHINGTON,,100s,,,,,,,,,N,,,"NEW ZEALAND BRAEBURN 80S, WA GINGER GOLD 80S-100S, CHILE GRANNY SMITH 90S-100S.",,"HIGHER; WA PINKLADY 80S, WA FUJI 72S-80S, GINGER GOLD 125S; OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/05,28,28,,,WASHINGTON,,113s,,,,,,,,,N,,,"NEW ZEALAND BRAEBURN 80S, WA GINGER GOLD 80S-100S, CHILE GRANNY SMITH 90S-100S.",,"HIGHER; WA PINKLADY 80S, WA FUJI 72S-80S, GINGER GOLD 125S; OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/05,28,31,30,31,WASHINGTON,,125s,,,,,,,,,N,,,"NEW ZEALAND BRAEBURN 80S, WA GINGER GOLD 80S-100S, CHILE GRANNY SMITH 90S-100S.",,"HIGHER; WA PINKLADY 80S, WA FUJI 72S-80S, GINGER GOLD 125S; OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/06,30,34,32,33,WASHINGTON,,64s,,,,,,,,,N,,,STEADY.,"occas lower",
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/06,30,34,32,33,WASHINGTON,,72s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/06,30,34,33,34,WASHINGTON,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/06,30,34,33,34,WASHINGTON,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/06,28,32,29,30,WASHINGTON,,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/06,28,28,,,WASHINGTON,,113s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/06,28,31,30,31,WASHINGTON,,125s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/07,30,34,32,33,WASHINGTON,,64s,,,,,,,,,N,,,STEADY.,"occas lower",
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/07,30,34,32,33,WASHINGTON,,72s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/07,30,34,33,34,WASHINGTON,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/07,30,34,33,34,WASHINGTON,,88s,,,,,,,,,N,,,STEADY.,,
