Itemcode,"Item Description",Brand,Pack-size,"Vendor ID","Receive Date","PO Number","PO Line #","Ordered Quantity","Order UOM","Received Quantity","Rec. UOM","Weight (LB)","Variance (Quantity)","Estimate Inventory Cost","Actual Inventory Cost","Variance (Inventory Cost)","Estimate Add-on Cost","Actual Add-on Cost","Variance (Add-on Cost)"
"APPE102 ","Apple McIntosh ECO 80/88s          ","          ","          ","LYM     ",09/17/2018,"006779   ","001           ",13,"CS         ",13,"CS       ",0,0,351,351,0,149.33,149.33,0
"APPE102 ","Apple McIntosh ECO 80/88s          ","          ","          ","LYM     ",09/26/2018,"006829   ","008           ",2,"CS         ",2,"CS       ",0,0,54,54,0,24.39,23.83,-2.3
"APPE102 ","Apple McIntosh ECO 80/88s          ","          ","          ","LYM     ",09/21/2018,"006810   ","001           ",1,"CS         ",1,"CS       ",0,0,27,27,0,12.26,9.7,-20.88
"APPE102 ","Apple McIntosh ECO 80/88s          ","          ","          ","CLA     ",09/28/2018,"006856   ","001           ",15,"CS         ",15,"CS       ",0,0,405,405,0,171.12,171.12,0
"APPE102 ","Apple McIntosh ECO 80/88s          ","          ","          ","CLA     ",09/28/2018,"006851   ","001           ",9,"CS         ",9,"CS       ",0,0,243,243,0,36.97,25.18,-31.89
"APPE102 ","Apple McIntosh ECO 80/88s          ","          ","          ","LYM     ",09/21/2018,"006803   ","001           ",23,"CS         ",23,"CS       ",0,0,621,621,0,51.75,51.75,0
"APPE102 ","Apple McIntosh ECO 80/88s          ","          ","          ","CLA     ",09/26/2018,"006836   ","001           ",9,"CS         ",9,"CS       ",0,0,243,243,0,109.76,107.27,-2.27
"APPE102 ","Apple McIntosh ECO 80/88s          ","          ","          ","LYM     ",09/14/2018,"006761   ","003           ",6,"CS         ",6,"CS       ",0,0,171,171,0,64.85,64.85,0
"APPE102 ","Apple McIntosh ECO 80/88s          ","          ","          ","BHO     ",09/19/2018,"006795   ","004           ",8,"CS         ",8,"CS       ",0,0,216,216,0,96.8,96.8,0
"APPE102 ","Apple McIntosh ECO 80/88s          ","          ","          ","CLA     ",09/24/2018,"006830   ","001           ",13,"CS         ",13,"CS       ",0,0,351,351,0,181.55,181.55,0
"APPE103 ","Apple Jonamac ECO tote 8/5#        ","          ","          ","LYM     ",09/05/2018,"006694   ","001           ",30,"CS         ",30,"CS       ",0,0,690,690,0,261.01,228.15,-12.59
"APPE103 ","Apple Jonamac ECO tote 8/5#        ","          ","          ","LYM     ",09/10/2018,"006719   ","001           ",180,"CS         ",180,"CS       ",0,0,3960,3960,0,0,0,0
"APPE103 ","Apple Jonamac ECO tote 8/5#        ","          ","          ","ROG     ",09/14/2018,"006753   ","001           ",105,"CS         ",105,"CS       ",0,0,2362.5,2362.5,0,0,0,0
"APPE103 ","Apple Jonamac ECO tote 8/5#        ","          ","          ","LYM     ",09/20/2018,"006774   ","002           ",105,"CS         ",105,"CS       ",0,0,2415,2415,0,0,0,0
"APPE103 ","Apple Jonamac ECO tote 8/5#        ","          ","          ","ROG     ",09/27/2018,"006817   ","001           ",210,"CS         ",210,"CS       ",0,0,4725,4725,0,0,0,0
"APPE103 ","Apple Jonamac ECO tote 8/5#        ","          ","          ","LYM     ",09/07/2018,"006707   ","001           ",11,"CS         ",0,"CS       ",0,-100,0,0,0,0,0,0
"APPE104 ","Apple Jonamac ECO 80s              ","          ","          ","LYM     ",09/21/2018,"006802   ","005           ",7,"CS         ",7,"CS       ",0,0,196,196,0,0,0,0
"APPE112 ","Apple Ginger Gold ECO 80/88s       ","          ","          ","LYM     ",09/07/2018,"006705   ","001           ",10,"CS         ",10,"CS       ",0,0,230,230,0,22.5,22.5,0
"APPE113 ","Apple Ginger Gold ECO tote 8/5#    ","          ","          ","LYM     ",09/06/2018,"006715   ","001           ",70,"CS         ",58,"CS       ",0,-17.14,1334,1334,0,0,0,0
"APPE113 ","Apple Ginger Gold ECO tote 8/5#    ","          ","          ","ROG     ",09/03/2018,"006678   ","002           ",105,"CS         ",105,"CS       ",0,0,2415,2415,0,0,0,0
"APPE119 ","Apple Ginger Gold ECO 72/80/88/100s","          ","          ","ROG     ",09/03/2018,"006678   ","001           ",126,"CS         ",126,"CS       ",0,0,3307.5,3307.5,0,0,0,0
"APPE129 ","Apple Cortland ECO 80/88/100s      ","          ","          ","LYM     ",09/26/2018,"006829   ","006           ",1,"CS         ",1,"CS       ",0,0,27,27,0,12.2,11.92,-2.3
"APPE129 ","Apple Cortland ECO 80/88/100s      ","          ","          ","BHO     ",09/28/2018,"006839   ","001           ",10,"CS         ",10,"CS       ",0,0,270,270,0,38.72,38.72,0
"APPE129 ","Apple Cortland ECO 80/88/100s      ","          ","          ","LYM     ",09/16/2018,"006777   ","001           ",168,"CS         ",140,"CS       ",0,-16.67,3990,3990,0,0,0,0
"APPE129 ","Apple Cortland ECO 80/88/100s      ","          ","          ","LYM     ",09/17/2018,"006779   ","002           ",19,"CS         ",19,"CS       ",0,0,513,513,0,218.25,218.25,0
"APPE129 ","Apple Cortland ECO 80/88/100s      ","          ","          ","LYM     ",09/21/2018,"006810   ","002           ",3,"CS         ",3,"CS       ",0,0,81,81,0,36.77,29.08,-20.91
"APPE129 ","Apple Cortland ECO 80/88/100s      ","          ","          ","ROG     ",09/28/2018,"006844   ","001           ",84,"CS         ",84,"CS       ",0,0,2394,2394,0,0,0,0
"APPE129 ","Apple Cortland ECO 80/88/100s      ","          ","          ","LYM     ",09/19/2018,"006801   ","003           ",2,"CS         ",2,"CS       ",0,0,56,56,0,0,0,0
"APPE129 ","Apple Cortland ECO 80/88/100s      ","          ","          ","LYM     ",09/19/2018,"006794   ","002           ",10,"CS         ",10,"CS       ",0,0,270,270,0,120.99,120.99,0
"APPE13  ","Apple McIntosh ECO tote 8/5#       ","          ","          ","BHO     ",09/20/2018,"006773   ","002           ",245,"CS         ",245,"CS       ",0,0,5635,5635,0,0,0,0
"APPE13  ","Apple McIntosh ECO tote 8/5#       ","          ","          ","CLA     ",09/24/2018,"006830   ","002           ",11,"CS         ",11,"CS       ",0,0,253,253,0,153.62,153.62,0
"APPE13  ","Apple McIntosh ECO tote 8/5#       ","          ","          ","LYM     ",09/09/2018,"006717   ","001           ",140,"CS         ",140,"CS       ",0,0,3220,3220,0,0,0,0
"APPE13  ","Apple McIntosh ECO tote 8/5#       ","          ","          ","KLK     ",09/10/2018,"006720   ","001           ",210,"CS         ",210,"CS       ",0,0,4725,4725,0,0,0,0
"APPE13  ","Apple McIntosh ECO tote 8/5#       ","          ","          ","CLA     ",09/28/2018,"006856   ","002           ",17,"CS         ",0,"CS       ",0,-100,0,0,0,0,0,0
