Itemcode,"Description                        ","Item_brand                              ","Packsize  ",Number_of_invoices,Quantity_sold,Uomid,"Ave_price_each       ","Ave_cost_each        ","Total_sales          ","Cost_of_goods_sold   ","Line_gross_profit    ",Gross_profit_per_muom,Profit_percent
"APPE102 ","Apple McIntosh ECO 80/88s          ","                                        ","          ",29,84,"CS   ",34.875,35.7698,2929.5,3004.6613,-75.16,-0.8948,-0.0257
"APPE103 ","Apple Jonamac ECO tote 8/5#        ","                                        ","          ",12,630,"CS   ",25.3075,22.8786,15943.75,14413.509,1530.24,2.4289,0.096
"APPE104 ","Apple Jonamac ECO 80s              ","                                        ","          ",1,7,"CS   ",28,28,196,196,0,0,0
"APPE112 ","Apple Ginger Gold ECO 80/88s       ","                                        ","          ",1,10,"CS   ",32,25.25,320,252.5,67.5,6.75,0.2109
"APPE113 ","Apple Ginger Gold ECO tote 8/5#    ","                                        ","          ",10,178,"CS   ",25.5486,23.8678,4547.65,4248.4595,299.19,1.6808,0.0658
"APPE119 ","Apple Ginger Gold ECO 72/80/88/100s","                                        ","          ",1,126,"CS   ",29.75,26.25,3748.5,3307.5,441,3.5,0.1176
"APPE129 ","Apple Cortland ECO 80/88/100s      ","                                        ","          ",19,269,"CS   ",33.2546,29.8436,8945.5,8027.9312,917.57,3.411,0.1026
"APPE13  ","Apple McIntosh ECO tote 8/5#       ","                                        ","          ",57,1609,"CS   ",25.7325,23.9095,41403.65,38470.3094,2933.34,1.823,0.0708
"APPE131 ","Apple Empire ECO 88/100s           ","                                        ","          ",1,15,"CS   ",32,27.8713,480,418.0695,61.93,4.1287,0.129
"APPE137 ","Apple Jonamac  ECO 125/138s        ","                                        ","          ",9,33,"CS   ",30.803,28.2697,1016.5,932.8996,83.6,2.5333,0.0822
"APPE138 ","Apple Gala ECO 125/138s            ","                                        ","          ",10,24,"CS   ",33.9167,32.4534,814,778.8809,35.12,1.4633,0.0431
"APPE145 ","Apple Gala ECO 125s                ","                                        ","          ",1,2,"CS   ",28,28,56,56,0,0,0
"APPE15  ","Apple McIntosh ECO 100s            ","                                        ","          ",1,2,"CS   ",28,28,56,56,0,0,0
"APPE273 ","Apple McIntosh ECO 138s            ","                                        ","          ",5,10,"CS   ",35.55,32.1641,355.5,321.6409,33.86,3.3859,0.0952
"APPE32  ","Apple McIntosh ECO 80/88/100s      ","                                        ","          ",5,406,"CS   ",34.8793,31.1034,14161,12628,1533,3.7759,0.1083
"APPE33  ","Apple Gala ECO tote 8/5#           ","                                        ","          ",58,1727,"CS   ",26.4186,24.2583,45624.95,41894.1607,3730.79,2.1603,0.0818
"APPE40  ","Apple Honeycrisp ECO 72/80/88s     ","                                        ","          ",5,507,"CS   ",79.8886,74.9834,40503.5,38016.5901,2486.91,4.9052,0.0614
"APPE56  ","Apple Zestar ECO 72/80/88s         ","                                        ","          ",1,168,"CS   ",40,35,6720,5880,840,5,0.125
"APPE57  ","Apple Gala ECO 72/80/88s           ","ECO-branded                             ","          ",30,340,"CS   ",34.3794,30.7311,11689,10448.5864,1240.41,3.6483,0.1061
"APPE63  ","Apple Paula Red ECO tote 8/5#      ","                                        ","          ",14,436,"CS   ",26.1373,24.1974,11395.85,10550.0645,845.79,1.9399,0.0742
"APPE7   ","Apple Macoun ECO 80/88/100s        ","                                        ","          ",2,133,"CS   ",38.3947,34.1184,5106.5,4537.75,568.75,4.2763,0.1114
"APPE73  ","Apple Macoun ECO tote 8/5#         ","                                        ","          ",6,422,"CS   ",28.6831,25.3114,12104.25,10681.39,1422.86,3.3717,0.1176
"APPE83  ","Apple Cortland ECO tote 8/5#       ","                                        ","          ",21,457,"CS   ",25.9665,24.6111,11866.7,11247.2547,619.45,1.3554,0.0522
"APPE84  ","Apple Cortland ECO 80s             ","                                        ","          ",1,18,"CS   ",32,30.75,576,553.5,22.5,1.25,0.0391
"APPE911 ","Apple Hrlm Claygate Pearmain ECO   ","                                        ","1/2BU     ",1,1,"CS   ",45,48.26,45,48.26,-3.26,-3.26,-0.0724
"APPE912 ","Apple Hrlm Cox's Orange Pippin ECO ","                                        ","1/2BU     ",2,2,"CS   ",45,40.615,90,81.23,8.77,4.385,0.0974
"APPE919 ","Apple Hrlm Holstein ECO 1/2bu      ","                                        ","          ",4,15,"CS   ",39.8,39.7413,597,596.12,0.88,0.0587,0.0015
"APPE920 ","Apple Hrlm Hubbardston Nonesuch ECO","                                        ","          ",2,13,"CS   ",39,39.7354,507,516.56,-9.56,-0.7354,-0.0189
"APPE925 ","Apple Hrlm Lamb Abbey Pearmain ECO ","                                        ","1/2BU     ",3,17,"CS   ",39.2647,39.4271,667.5,670.26,-2.76,-0.1624,-0.0041
"APPE931 ","Apple Hrlm Reine des Reinettes ECO ","                                        ","1/2BU     ",3,14,"CS   ",39.4286,40.6057,552,568.4798,-16.48,-1.1771,-0.0299
"APPE947 ","Apple Hrlm Ribston Pippin ECO 1/2bu","                                        ","          ",2,2,"CS   ",45,48.255,90,96.51,-6.51,-3.255,-0.0723
"APPE958 ","Apple Hrlm Opalescent ECO          ","                                        ","          ",3,3,"CS   ",45,45.7067,135,137.12,-2.12,-0.7067,-0.0157
"APPE97  ","Apple Hrlm Black Gilliflower ECO   ","                                        ","1/2BU     ",1,1,"CS   ",45,40.61,45,40.61,4.39,4.39,0.0976
"BEE12   ","Beet Red diced bag 4/5#            ","                                        ","          ",1,1,"CS   ",65.75,50.45,65.75,50.45,15.3,15.3,0.2327
"BEE2    ","Beet Red Cut bag 25#               ","                                        ","          ",6,39,"CS   ",14.4038,13.4687,561.75,525.28,36.47,0.9351,0.0649
"CAB1    ","Cabbage Green 12-18s 50#           ","                                        ","          ",53,191,"CS   ",18.5602,18.0763,3545,3452.5797,92.42,0.4839,0.0261
