Itemcode,"Item Description",Brand,Pack-size,"Vendor ID","Receive Date","PO Number","PO Line #","Ordered Quantity","Order UOM","Received Quantity","Rec. UOM","Weight (LB)","Variance (Quantity)","Estimate Inventory Cost","Actual Inventory Cost","Variance (Inventory Cost)","Estimate Add-on Cost","Actual Add-on Cost","Variance (Add-on Cost)"
"APP1    ","Apple McIntosh 80s                 ","          ","          ","PLV     ",06/18/2017,"004823   ","001           ",3,"CS         ",0,"CS       ",0,-100,0,0,0,0,0,0
"APP1    ","Apple McIntosh 80s                 ","          ","          ","PLV     ",06/18/2017,"004823   ","002           ",5,"CS         ",0,"CS       ",0,-100,0,0,0,0,0,0
"APP11   ","Apple McIntosh tote 10/4#          ","          ","          ","ORB     ",02/22/2017,"004662   ","001           ",504,"CS         ",504,"CS       ",0,0,11718,11718,0,640.08,640.08,0
"APP11   ","Apple McIntosh tote 10/4#          ","          ","          ","ORB     ",03/01/2017,"004672   ","001           ",378,"CS         ",378,"CS       ",0,0,8788.5,8788.5,0,480.06,480.06,0
"APP11   ","Apple McIntosh tote 10/4#          ","          ","          ","ORB     ",03/08/2017,"004683   ","001           ",504,"CS         ",502,"CS       ",0,-0.4,11671.5,11671.5,0,637.54,637.54,0
"APP11   ","Apple McIntosh tote 10/4#          ","          ","          ","ORB     ",03/15/2017,"004693   ","001           ",336,"CS         ",336,"CS       ",0,0,7980,7980,0,426.72,426.72,0
"APP11   ","Apple McIntosh tote 10/4#          ","          ","          ","ORB     ",03/18/2017,"004703   ","001           ",714,"CS         ",714,"CS       ",0,0,17314.5,17314.5,0,510,510,0
"APP11   ","Apple McIntosh tote 10/4#          ","          ","          ","ORB     ",03/22/2017,"004704   ","001           ",210,"CS         ",210,"CS       ",0,0,4987.5,4987.5,0,266.7,266.7,0
"APP11   ","Apple McIntosh tote 10/4#          ","          ","          ","ORB     ",03/29/2017,"004719   ","001           ",756,"CS         ",756,"CS       ",0,0,18333,18333,0,540,540,0
"APP11   ","Apple McIntosh tote 10/4#          ","          ","          ","ORB     ",03/31/2017,"004727   ","001           ",1008,"CS         ",1008,"CS       ",0,0,23940,23940,0,1280.16,1280.16,0
