Itemcode,"Description                        ","Item_brand                              ","Packsize  ",Number_of_invoices,Quantity_sold,Uomid,"Ave_price_each       ","Ave_cost_each        ","Total_sales          ","Cost_of_goods_sold   ","Line_gross_profit    ",Gross_profit_per_muom,Profit_percent
"APPE11  ","Apple McIntosh ECO tote 10/4#      ","TJs                                     ","          ",1270,76174,"CS   ",25.5421,21.912,1945643.75,1669121.5429,276522.21,3.6301,0.1421
"APPE12  ","Apple McIntosh ECO polybag 12/3#   ","ECO-branded                             ","          ",616,37727,"CS   ",23.8158,20.088,898500.3,757859.6206,140640.68,3.7278,0.1565
"APPE22  ","Apple Empire ECO polybag 12/3#     ","ECO-branded                             ","          ",750,37080,"CS   ",23.4706,19.7959,870290.23,734031.6341,136258.6,3.6747,0.1566
"TOM1    ","Tomato Hrlm Mix boxette 6/2.25# TJs","                                        ","          ",520,26670,"CS   ",28.6918,24.0571,765211.6,641601.941,123609.66,4.6347,0.1615
"APP31   ","Apple Gala tote 10/4#              ","TJs                                     ","          ",363,33615,"CS   ",26.9767,23.5224,906821.75,790705.219,116116.53,3.4543,0.128
"APPE31  ","Apple Gala ECO tote 10/4#          ","TJs                                     ","          ",479,28924,"CS   ",26.5594,22.9269,768204.75,663136.285,105068.47,3.6325,0.1368
"APPE14  ","Apple McIntosh ECO 88s             ","                                        ","          ",1254,21331.525,"CS   ",29.7625,25.9711,634880.15,554002.6572,80877.49,3.7914,0.1274
"APPE41  ","Apple Honeycrisp ECO tote 10/4#    ","TJs                                     ","          ",195,15463,"CS   ",42.2647,37.4179,653539.75,578592.9787,74946.77,4.8468,0.1147
"APPE21  ","Apple Empire ECO tote 10/4#        ","                                        ","          ",580,18971,"CS   ",24.7038,21.2772,468656,403649.2631,65006.74,3.4266,0.1387
"APPE32  ","Apple McIntosh ECO 80/88/100s      ","                                        ","          ",251,17778,"CS   ",31.4851,27.9475,559741.5,496849.9845,62891.52,3.5376,0.1124
"APPE61  ","Apple Paula Red ECO tote 10/4#     ","TJs                                     ","          ",127,14933,"CS   ",24.9172,21.0102,372088.45,313745.6275,58342.82,3.907,0.1568
"STR1    ","Strawberry Native 8 quart          ","                                        ","          ",969,14000,"CS   ",36.5331,32.575,511464.08,456050.15,55413.93,3.9581,0.1083
"APPE71  ","Apple Macoun ECO tote 10/4#        ","TJs                                     ","          ",418,15144,"CS   ",26.0871,22.4725,395062.75,340323.6154,54739.13,3.6146,0.1386
"PCHE2   ","Peach ECO punnet 8/3#              ","                                        ","          ",261,18266,"CS   ",24.8871,22.1888,454588.5,405301.4699,49287.03,2.6983,0.1084
"APPE40  ","Apple Honeycrisp ECO 72/80/88s     ","                                        ","          ",152,11262,"CS   ",61.0946,56.9821,688046.98,641732.659,46314.32,4.1125,0.0673
"PCHE3   ","Peach ECO basket 6/3.5#            ","                                        ","          ",583,10872,"CS   ",25.5207,21.5223,277461.36,233990.4696,43470.89,3.9984,0.1567
"BLU1    ","Blueberry 12 pint                  ","                                        ","          ",355,13758,"CS   ",26.0935,23.3649,358994.23,321454.6653,37539.56,2.7286,0.1046
"TOM45   ","Tomato Hrlm Mix pouch 16/1#        ","                                        ","          ",217,7850,"CS   ",32.8076,28.0657,257539.5,220316.0927,37223.41,4.7419,0.1445
"SQU62   ","Squash Spaghetti 1-1/9 bu 10s      ","                                        ","          ",117,12316,"CS   ",15.7536,13.1562,194021.25,162031.4464,31989.8,2.5974,0.1649
"APP11   ","Apple McIntosh tote 10/4#          ","                                        ","          ",170,9654,"CS   ",26.8777,23.6773,259477.4,228580.956,30896.44,3.2004,0.1191
"PCHE1   ","Peach ECO 2-3/4""+ 2-layer tray 19# ","                                        ","          ",230,9889,"CS   ",26.8549,23.8359,265567.9,235713.6471,29854.25,3.019,0.1124
"APPE13  ","Apple McIntosh ECO tote 8/5#       ","                                        ","          ",423,9780,"CS   ",26.4426,23.9294,258609.1,234029.046,24580.05,2.5132,0.095
"PCHE15  ","Peach ECO basket 6/3.25#           ","                                        ","          ",115,7142,"CS   ",25.1003,21.7204,179266.05,155127.3104,24138.74,3.3799,0.1347
"PCH3    ","Peach basket 6/3.5#                ","                                        ","          ",91,7074,"CS   ",23.3448,20.4463,165141.41,144636.9252,20504.48,2.8985,0.1242
