Itemcode,"Description                        ","Item_brand                              ","Packsize  ",Number_of_invoices,Quantity_sold,Uomid,"Ave_price_each       ","Ave_cost_each        ","Total_sales          ","Cost_of_goods_sold   ","Line_gross_profit    ",Gross_profit_per_muom,Profit_percent
"APPE11  ","Apple McIntosh ECO tote 10/4#      ","TJs                                     ","          ",563,30450,"CS   ",25.5523,21.5994,778067,657703.2092,120363.79,3.9529,0.1547
"TOM1    ","Tomato Hrlm Mix boxette 6/2.25# TJs","                                        ","          ",198,10305,"CS   ",28.6049,23.9586,294773.75,246893.2327,47880.52,4.6463,0.1624
"APPE21  ","Apple Empire ECO tote 10/4#        ","                                        ","          ",332,11833,"CS   ",24.2301,20.9601,286714.25,248021.4336,38692.82,3.27,0.135
"APP31   ","Apple Gala tote 10/4#              ","TJs                                     ","          ",67,7754,"CS   ",27.1543,23.1658,210554.75,179627.8584,30926.89,3.9885,0.1469
"APPE41  ","Apple Honeycrisp ECO tote 10/4#    ","TJs                                     ","          ",62,5265,"CS   ",42.4986,37.5345,223755.25,197619.3026,26135.95,4.9641,0.1168
"APPE32  ","Apple McIntosh ECO 80/88/100s      ","                                        ","          ",56,8078,"CS   ",28.9587,25.7748,233928.75,208209.034,25719.72,3.1839,0.1099
"APPE31  ","Apple Gala ECO tote 10/4#          ","TJs                                     ","          ",96,5638,"CS   ",27.003,22.6714,152242.75,127821.3087,24421.44,4.3316,0.1604
"APPE71  ","Apple Macoun ECO tote 10/4#        ","TJs                                     ","          ",143,5540,"CS   ",26.168,22.1763,144970.75,122856.5784,22114.17,3.9917,0.1525
"APPE61  ","Apple Paula Red ECO tote 10/4#     ","TJs                                     ","          ",34,4713,"CS   ",25.2759,21.4554,119125.25,101119.476,18005.77,3.8205,0.1511
"APPE40  ","Apple Honeycrisp ECO 72/80/88s     ","                                        ","          ",37,2526,"CS   ",61.0001,55.2052,154086.25,139448.2599,14637.99,5.7949,0.095
"STR1    ","Strawberry Native 8 quart          ","                                        ","          ",244,3251,"CS   ",35.6398,32.0113,115865,104068.5864,11796.41,3.6285,0.1018
