,year,Item Description,index,PO Number,PO Line #,Ordered Quantity,Received Quantity,Weight (LB),Variance (Quantity),Estimate Inventory Cost,Actual Inventory Cost,Variance (Inventory Cost),Estimate Add-on Cost,Actual Add-on Cost,Variance (Add-on Cost),Price per Case ($)
0,2014,Apple McIntosh 88s,87.9,1337.9,1.5,126.0,121.6,0.0,-1.048,2971.5799999999995,2971.5799999999995,0.0,138.262,138.262,0.0,24.545
1,2014,Apple McIntosh ECO 100s,1669.5,1038.3,4.6,21.6,21.6,0.0,0.0,476.0,475.9,-0.065,21.52,21.52,0.0,25.083333333333336
2,2014,Apple McIntosh ECO 140s,1703.0,1104.857142857143,5.0,4.285714285714286,4.285714285714286,0.0,0.0,109.28571428571429,109.28571428571429,0.0,24.608571428571427,24.608571428571427,0.0,25.5
3,2014,Apple McIntosh ECO 88s,1462.6494845360826,585.7216494845361,2.1752577319587627,78.5360824742268,75.83505154639175,0.0,-0.6571134020618556,1868.1829896907216,1868.1829896907216,0.0,62.14577319587631,62.14577319587631,0.0,24.765463917525775
4,2014,Apple McIntosh ECO polybag 12/3#,1027.0,161.3116883116883,1.3116883116883118,242.5194805194805,243.36363636363637,0.0,-0.07844155844155844,4655.837662337663,4655.837662337663,0.0,240.97701298701298,240.97701298701298,0.0,19.07792207792208
5,2014,Apple McIntosh ECO tote 10/4#,610.1632653061224,1306.3877551020407,2.2448979591836733,225.71428571428572,225.81632653061226,0.0,0.2720408163265306,4606.374489795919,4606.374489795919,0.0,182.37306122448982,182.37306122448982,0.0,20.10510204081633
6,2014,Apple McIntosh ECO tote 8/5#,1237.5625,1268.0625,2.625,67.9375,67.9375,0.0,0.0,1508.6875,1508.6875,0.0,2.25875,2.25875,0.0,22.09375
7,2014,Apple McIntosh Juicing ECO 1 bu,1691.0,1154.0,2.0,1.0,1.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,15.0
8,2014,Apple McIntosh tote 8/5#,80.0,1349.0,6.0,70.0,70.0,0.0,0.0,1435.0,1435.0,0.0,0.0,0.0,0.0,20.5
9,2014,INACTIVE Apple McIntosh ECO 88s,1681.0,1381.0,1.0,1.0,1.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,25.0
10,2015,Apple McIntosh 80/88s,25.5,2990.0,1.5,105.0,105.0,0.0,0.0,2598.75,2598.75,0.0,0.0,0.0,0.0,24.75
11,2015,Apple McIntosh 80s,10.0,2973.6,1.2,75.6,75.6,0.0,0.0,1738.8,1738.8,0.0,94.5,94.5,0.0,23.0
12,2015,Apple McIntosh 88s,98.5,1717.0,1.0,115.125,115.125,0.0,0.0,2571.4125,2571.4125,0.0,47.76875,47.76875,0.0,22.275000000000002
13,2015,Apple McIntosh ECO 100s,1676.5,2661.0,2.0,90.0,90.0,0.0,0.0,2193.75,2193.75,0.0,0.0,0.0,0.0,24.375
14,2015,Apple McIntosh ECO 113s,3690.0,3052.0,11.0,4.0,4.0,0.0,0.0,97.0,97.0,0.0,23.94,23.94,0.0,24.25
15,2015,Apple McIntosh ECO 120s,414.0,2734.818181818182,4.818181818181818,7.363636363636363,7.363636363636363,0.0,0.0,148.27272727272728,148.27272727272728,0.0,48.16909090909091,48.16909090909091,0.0,20.09090909090909
16,2015,Apple McIntosh ECO 80/88/100s,2382.5,2988.875,6.8125,26.6875,27.0625,0.0,0.44625,668.921875,668.921875,0.0,42.776875,42.776875,0.0,24.65625
